date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:40:17	210/210	---M-Z	200	added ('OK')	text/plain	etag:%222b1-59594e0fe1680-gzip%22	https://store.jiva.com/robots.txt		(from )
19:40:17	316585/316585	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20Nov%202020%2014:10:16%20GMT	https://store.jiva.com/?utm_source=affiliate&utm_medium=m323143219463814323&utm_campaign=1	C:/My%20Web%20Sites/Jani%20Herbal/store.jiva.com/indexc243.html	(from )
19:40:18	3410/3410	---M--	200	added ('OK')	image/png	etag:%22d52-58af75c05ea40%22	https://store.jiva.com/wp-content/uploads/2019/04/favicon-96x96.png	C:/My%20Web%20Sites/Jani%20Herbal/store.jiva.com/wp-content/uploads/2019/04/favicon-96x96.png	(from https://store.jiva.com/?utm_source=affiliate&utm_medium=m323143219463814323&utm_campaign=1)
19:40:19	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:%221538f-59c03cafe3339-gzip%22	https://store.jiva.com/wp-content/themes/jiva/js/jquery-3.3.1.min.js	C:/My%20Web%20Sites/Jani%20Herbal/store.jiva.com/wp-content/themes/jiva/js/jquery-3.3.1.min.js	(from https://store.jiva.com/?utm_source=affiliate&utm_medium=m323143219463814323&utm_campaign=1)
19:40:19	41467/41467	---M-Z	200	added ('OK')	text/css	etag:%22a1fb-5994464e35840-gzip%22	https://store.jiva.com/wp-includes/css/dist/block-library/style.min.css?ver=5.3.1	C:/My%20Web%20Sites/Jani%20Herbal/store.jiva.com/wp-includes/css/dist/block-library/style.min7923.css	(from https://store.jiva.com/?utm_source=affiliate&utm_medium=m323143219463814323&utm_campaign=1)
19:40:20	33665/33665	---M-Z	200	added ('OK')	application/rss+xml	etag:%227762dda7a6668c46fa69b36d54c120ce-gzip%22	https://store.jiva.com/feed/	C:/My%20Web%20Sites/Jani%20Herbal/store.jiva.com/feed/index.html	(from https://store.jiva.com/?utm_source=affiliate&utm_medium=m323143219463814323&utm_campaign=1)
19:40:21	316518/316518	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20Nov%202020%2014:10:19%20GMT	https://store.jiva.com/	C:/My%20Web%20Sites/Jani%20Herbal/store.jiva.com/index.html	(from https://store.jiva.com/?utm_source=affiliate&utm_medium=m323143219463814323&utm_campaign=1)
19:40:21	30440/30440	---M-Z	200	added ('OK')	text/css	etag:%2276e8-59c03aeeab278-gzip%22	https://store.jiva.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style.css?ver=2.4.5	C:/My%20Web%20Sites/Jani%20Herbal/store.jiva.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style747d.css	(from https://store.jiva.com/?utm_source=affiliate&utm_medium=m323143219463814323&utm_campaign=1)
19:40:22	449/449	---M-Z	200	added ('OK')	text/css	etag:%221c1-5a7500bef2ec0-gzip%22	https://store.jiva.com/wp-content/plugins/add-to-cart-direct-checkout-for-woocommerce/public/css/pi-dcw-public.css?ver=1.6.2	C:/My%20Web%20Sites/Jani%20Herbal/store.jiva.com/wp-content/plugins/add-to-cart-direct-checkout-for-woocommerce/public/css/pi-dcw-public1f22.css	(from https://store.jiva.com/?utm_source=affiliate&utm_medium=m323143219463814323&utm_campaign=1)
19:40:22	6727/6727	---M-Z	200	added ('OK')	application/rss+xml	etag:%226fb267ada8699cf845d89345569ae08d-gzip%22	https://store.jiva.com/comments/feed/	C:/My%20Web%20Sites/Jani%20Herbal/store.jiva.com/comments/feed/index.html	(from https://store.jiva.com/?utm_source=affiliate&utm_medium=m323143219463814323&utm_campaign=1)
19:40:22	1645/1645	---M-Z	200	added ('OK')	text/css	etag:%2266d-599445d6fff00-gzip%22	https://store.jiva.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.6	C:/My%20Web%20Sites/Jani%20Herbal/store.jiva.com/wp-content/plugins/contact-form-7/includes/css/stylesb62d.css	(from https://store.jiva.com/?utm_source=affiliate&utm_medium=m323143219463814323&utm_campaign=1)
19:40:22	736/736	---M-Z	200	added ('OK')	text/css	etag:%222e0-58564df3b9100-gzip%22	https://store.jiva.com/wp-content/plugins/email-subscribers/public/css/email-subscribers-public.css	C:/My%20Web%20Sites/Jani%20Herbal/store.jiva.com/wp-content/plugins/email-subscribers/public/css/email-subscribers-public.css	(from https://store.jiva.com/?utm_source=affiliate&utm_medium=m323143219463814323&utm_campaign=1)
19:40:22	16542/16542	---M-Z	200	added ('OK')	text/css	etag:%22409e-59c03ab501177-gzip%22	https://store.jiva.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=3.8.1	C:/My%20Web%20Sites/Jani%20Herbal/store.jiva.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout7e2e.css	(from https://store.jiva.com/?utm_source=affiliate&utm_medium=m323143219463814323&utm_campaign=1)
19:40:23	6758/6758	---M-Z	200	added ('OK')	text/css	etag:%221a66-59c03ab54c489-gzip%22	https://store.jiva.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=3.8.1	C:/My%20Web%20Sites/Jani%20Herbal/store.jiva.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen7e2e.css	(from https://store.jiva.com/?utm_source=affiliate&utm_medium=m323143219463814323&utm_campaign=1)
19:40:23	62669/62669	---M-Z	200	added ('OK')	text/css	etag:%22f4cd-59c03ab5783a2-gzip%22	https://store.jiva.com/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.8.1	C:/My%20Web%20Sites/Jani%20Herbal/store.jiva.com/wp-content/plugins/woocommerce/assets/css/woocommerce7e2e.css	(from https://store.jiva.com/?utm_source=affiliate&utm_medium=m323143219463814323&utm_campaign=1)
